product_id,product_name,brand,category,primary_color,price,mrp,rating,gender,image_url,ajio_url
56284,Biara White Everyday Support Bra,Biara,Bra,White,999,1499,0.0,Unisex,56284.jpg,
56277,Biara Maroon Everyday Support Bra MW 1002,Biara,Bra,Maroon,999,1499,0.0,Unisex,56277.jpg,
53475,Amante Pink Full-Coverage Bra BCSB01,Amante,Bra,Pink,999,1499,0.0,Unisex,53475.jpg,
30468,Lovable Women All Day Long Black Bra,Lovable,Bra,Black,999,1499,0.0,Women,30468.jpg,
27456,Jockey Women White Full-Coverage Bra 1616,Jockey,Bra,White,999,1499,0.0,Women,27456.jpg,
59692,Avirate Black Bra,Avirate,Bra,Black,999,1499,0.0,Unisex,59692.jpg,
30498,Lovable Women Fiona Brown Bra,Lovable,Bra,Brown,999,1499,0.0,Women,30498.jpg,
21663,Enamor Women White Smooth Bra,Enamor,Bra,White,999,1499,0.0,Women,21663.jpg,
30515,Lovable Women Spice Blue Bra,Lovable,Bra,Blue,999,1499,0.0,Women,30515.jpg,
54318,Garfield Women Pink & Red Bra,Garfield,Bra,Red,999,1499,0.0,Women,54318.jpg,
50966,Enamor Navy Blue Smooth Bra,Enamor,Bra,Blue,999,1499,0.0,Unisex,50966.jpg,
53508,Amante White Full-Coverage Bra BFOM12,Amante,Bra,White,999,1499,0.0,Unisex,53508.jpg,
51021,Enamor Wine Coloured Smooth Bra,Enamor,Bra,Red,999,1499,0.0,Unisex,51021.jpg,
57361,Amante Pink Printed Full-Coverage Bra BGTC01,Amante,Bra,Pink,999,1499,0.0,Unisex,57361.jpg,
30529,Lovable Cotton Essensuals Skin Coloured Bra,Lovable,Bra,Red,999,1499,0.0,Unisex,30529.jpg,
51011,Enamor Lavender Reveal Bra,Enamor,Bra,,999,1499,0.0,Unisex,51011.jpg,
17466,Beyouty Women Zena BR 01 White Bra,Beyouty,Bra,White,999,1499,0.0,Women,17466.jpg,
53478,Amante Off-White Full-Coverage Bra BCSB02,Amante,Bra,White,999,1499,0.0,Unisex,53478.jpg,
46055,Estelle Women Gold Bracelet,Estelle,Bracelet,Gold,999,1499,0.0,Women,46055.jpg,
48566,Lucera Women Silver Bracelet,Lucera,Bracelet,,999,1499,0.0,Women,48566.jpg,
15789,Facit Men Grey Comfort Briefs,Facit,Briefs,Grey,999,1499,0.0,Men,15789.jpg,
28043,Jockey ELANCE Men Grey Melange Brief 1008,Jockey,Briefs,Grey,999,1499,0.0,Men,28043.jpg,
53537,Amante Women Pack of 3 Assorted Briefs PFCP12,Amante,Briefs,,999,1499,0.0,Women,53537.jpg,
27976,Jockey Men Charcoal Zone Stretch Briefs,Jockey,Briefs,,999,1499,0.0,Men,27976.jpg,
28896,Enamor Women Maroon Mid-Rise Bikini Brief,Enamor,Briefs,Maroon,999,1499,0.0,Women,28896.jpg,
45633,Park Avenue Men Navy Blue Swank Brief,Park,Briefs,Blue,999,1499,0.0,Men,45633.jpg,
28048,Jockey ELANCE Men White Hi-Cut Brief 1008,Jockey,Briefs,White,999,1499,0.0,Men,28048.jpg,
53469,Amante Women Mauve Briefs BCNE11,Amante,Briefs,,999,1499,0.0,Women,53469.jpg,
53527,Amante Women Maroon Lace Briefs PCFR21,Amante,Briefs,Maroon,999,1499,0.0,Women,53527.jpg,
25388,Levis Men Pack of 3 Briefs,Levis,Briefs,,999,1499,0.0,Men,25388.jpg,
18391,Undercolors of Benetton Men Pack of 2 White V-Briefs,Undercolors,Briefs,White,999,1499,0.0,Men,18391.jpg,
50523,Chromozome Men Black Pack of 2 Briefs,Chromozome,Briefs,Black,999,1499,0.0,Men,50523.jpg,
57409,Amante Women Off-White Lace Bikini Briefs PGSM02,Amante,Briefs,White,999,1499,0.0,Women,57409.jpg,
27983,Jockey ZONE Men Zone Grey Brief US14,Jockey,Briefs,Grey,999,1499,0.0,Men,27983.jpg,
19486,Levis Men Jazz Stripes Blue Brief,Levis,Briefs,Blue,999,1499,0.0,Men,19486.jpg,
54608,Jockey ELANCE Men Blue Briefs 1009,Jockey,Briefs,Blue,999,1499,0.0,Men,54608.jpg,
32717,Facit Men Black Brief,Facit,Briefs,Black,999,1499,0.0,Men,32717.jpg,
25346,Levis Men Black  Brief,Levis,Briefs,Black,999,1499,0.0,Men,25346.jpg,
28895,Enamor Women Pink Mid-Rise Bikini Brief,Enamor,Briefs,Pink,999,1499,0.0,Women,28895.jpg,
50916,Parx Men White Briefs,Parx,Briefs,White,999,1499,0.0,Men,50916.jpg,
50990,Enamor Women Red Briefs,Enamor,Briefs,Red,999,1499,0.0,Women,50990.jpg,
59685,Avirate Grey Boyshort Brief,Avirate,Briefs,Grey,999,1499,0.0,Men,59685.jpg,
31415,Spykar Men Navy Blue Trevor Brief,Spykar,Briefs,Blue,999,1499,0.0,Men,31415.jpg,
47262,FCUK Underwear Men White & Black Brief,FCUK,Briefs,Black,999,1499,0.0,Men,47262.jpg,
28053,Jockey ELANCE Men Navy Blue Pack of 2 Briefs 1009,Jockey,Briefs,Blue,999,1499,0.0,Men,28053.jpg,
50480,Chromozome Men Grey Briefs,Chromozome,Briefs,Grey,999,1499,0.0,Men,50480.jpg,
50626,Chromozome Men Grey Briefs,Chromozome,Briefs,Grey,999,1499,0.0,Men,50626.jpg,
45639,Park Avenue Men White Y Front Brief,Park,Briefs,White,999,1499,0.0,Men,45639.jpg,
59677,Avirate Black & White  Brief,Avirate,Briefs,Black,999,1499,0.0,Unisex,59677.jpg,
15814,Facit Men Stringz Black Briefs,Facit,Briefs,Black,999,1499,0.0,Men,15814.jpg,
50591,Chromozome Men Red Briefs,Chromozome,Briefs,Red,999,1499,0.0,Men,50591.jpg,
50504,Chromozome Men Navy Blue Striped Brief,Chromozome,Briefs,Blue,999,1499,0.0,Men,50504.jpg,
19355,Beyouty Women B01 Combo1 Fashion  Low-Rise Pack of 3 Breifs,Beyouty,Briefs,,999,1499,0.0,Women,19355.jpg,
50458,Chromozome Men Grey & Orange Briefs,Chromozome,Briefs,Grey,999,1499,0.0,Men,50458.jpg,
50628,Chromozome Men White Briefs,Chromozome,Briefs,White,999,1499,0.0,Men,50628.jpg,
19485,Levis Men Jazz Stripes Grey Brief,Levis,Briefs,Grey,999,1499,0.0,Men,19485.jpg,
28000,Jockey ZONE Men Blue Tanga Brief US18,Jockey,Briefs,Blue,999,1499,0.0,Men,28000.jpg,
25358,Levis Men Black & Red Brief,Levis,Briefs,Black,999,1499,0.0,Men,25358.jpg,
50190,Hanes Women White Camisole,Hanes,Camisoles,White,999,1499,0.0,Women,50190.jpg,
43589,Gini and Jony Girls Fixed Weast Pink Capris,Gini,Capris,Pink,999,1499,0.0,Women,43589.jpg,
57099,Elle Women Purple Capris,Elle,Capris,Purple,999,1499,0.0,Women,57099.jpg,
27014,Jealous 21 Women Washed Blue Capris,Jealous,Capris,Blue,999,1499,0.0,Women,27014.jpg,
43077,Nike Womens Grey Capris,Nike,Capris,Grey,999,1499,0.0,Women,43077.jpg,
57205,Kraus Jeans Women White Capris,Kraus,Capris,White,999,1499,0.0,Women,57205.jpg,
57096,Elle Women Blue Chambray Capris,Elle,Capris,Blue,999,1499,0.0,Women,57096.jpg,
46733,Gini and Jony Girls Navy Blue Capris,Gini,Capris,Blue,999,1499,0.0,Women,46733.jpg,
49239,Arrow Men White Cap,Arrow,Caps,White,999,1499,0.0,Men,49239.jpg,
34795,Flying Machine Men Black Hat,Flying,Caps,Black,999,1499,0.0,Men,34795.jpg,
19969,United Colors of Benetton Men Solid Blue Cap,United,Caps,Blue,999,1499,0.0,Men,19969.jpg,
1581,Nabaiji Unisex Silicone Swimming Cap,Nabaiji,Caps,,999,1499,0.0,Unisex,1581.jpg,
21438,Roxy Women Mellow Beanie Blue Cap,Roxy,Caps,Blue,999,1499,0.0,Women,21438.jpg,
40766,Quiksilver Men Navy Blue Flex Pintails Cap,Quiksilver,Caps,Blue,999,1499,0.0,Men,40766.jpg,
19886,ADIDAS Originals Unisex Dicolor Red Cap,ADIDAS,Caps,Red,999,1499,0.0,Unisex,19886.jpg,
49233,Arrow Men Blue Cap,Arrow,Caps,Blue,999,1499,0.0,Men,49233.jpg,
43072,Nike Unisex Black Cap,Nike,Caps,Black,999,1499,0.0,Unisex,43072.jpg,
40112,ADIDAS Unisex Black Cap,ADIDAS,Caps,Black,999,1499,0.0,Unisex,40112.jpg,
